koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_pdisposition,hier_labels_5,hier_labels_10,dbscan_labels_5
0,0,0,0,-0.08606425468206014,CANDIDATE,4,0,0
0,0,0,0,-0.06863241788322219,CANDIDATE,4,0,0
0,0,1,0,-0.05011109128445689,FALSE POSITIVE,8,1,1
0,0,1,0,-0.0330317364797131,FALSE POSITIVE,8,1,1
0,0,1,0,0.011284863323214968,FALSE POSITIVE,8,1,1
0,0,0,0,-0.06417832723057794,CANDIDATE,4,0,0
0,0,0,0,-0.0796554911530756,CANDIDATE,4,0,0
0,0,0,0,-0.08202673365879988,CANDIDATE,4,0,0
0,0,0,0,-0.08426980089394447,CANDIDATE,4,0,0
0,0,0,0,-0.08455819525274877,CANDIDATE,4,0,0
0,0,0,0,-0.08090520004122757,CANDIDATE,4,0,0
0,0,0,0,-0.08193060220586511,CANDIDATE,4,0,0
0,0,0,0,-0.08186651457057526,CANDIDATE,4,0,0
1,0,1,1,-0.034794146450183853,FALSE POSITIVE,10,1,3
0,0,0,0,-0.08225104038231433,CANDIDATE,4,0,0
0,0,0,0,-0.08471841434097338,CANDIDATE,4,0,0
0,0,1,0,0.03336305368056668,FALSE POSITIVE,8,1,1
0,0,0,0,-0.06305679361300565,CANDIDATE,4,0,0
0,0,0,0,-0.07218928164180861,CANDIDATE,4,0,0
0,0,0,0,-0.0809372438588725,CANDIDATE,4,0,0
0,0,0,0,-0.07981571024130021,CANDIDATE,4,0,0
0,0,0,0,-0.07981571024130021,CANDIDATE,4,0,0
0,0,0,0,-0.08244330328818386,CANDIDATE,4,0,0
0,0,0,0,-0.0820587774764448,CANDIDATE,4,0,0
0,0,0,0,-0.08100133149416235,CANDIDATE,4,0,0
0,0,0,0,-0.06956168859492495,CANDIDATE,4,0,0
0,0,0,0,-0.07552183867688057,CANDIDATE,4,0,0
0,0,0,0,-0.07744446773557594,CANDIDATE,4,0,0
0,0,0,0,-0.04511225573184895,CANDIDATE,4,0,0
0,0,0,0,-0.06513964175992562,CANDIDATE,4,0,0
