koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
FALSE POSITIVE,0,0,1,0,0.07495592898367634,1
CANDIDATE,0,0,0,0,-0.08032841132361897,0
FALSE POSITIVE,1,0,1,1,-0.08583994795854567,3
CANDIDATE,0,0,0,0,-0.08648082431144413,0
FALSE POSITIVE,0,1,0,0,0.012182090217272795,7
FALSE POSITIVE,0,0,1,0,0.1612499299014531,1
CANDIDATE,0,0,0,0,-0.08269965382934326,0
CANDIDATE,0,0,0,0,-0.08394936271749524,0
FALSE POSITIVE,0,0,1,0,0.05560146312614304,1
CANDIDATE,0,0,0,0,-0.07907870243546698,0
FALSE POSITIVE,1,0,1,1,-0.0675108842656499,3
CANDIDATE,0,0,0,0,-0.0834687054528214,0
CANDIDATE,0,0,0,0,-0.08013614841774944,0
FALSE POSITIVE,1,0,0,0,-0.08587199177619059,4
FALSE POSITIVE,0,0,1,0,0.46380765610481306,1
FALSE POSITIVE,0,1,0,0,0.07601337496595878,7
CANDIDATE,0,0,0,0,-0.07491300614162705,0
CANDIDATE,0,0,0,0,-0.0830521358234374,0
FALSE POSITIVE,0,0,1,0,0.15118817116094735,1
CANDIDATE,0,0,0,0,-0.08660899958202382,0
FALSE POSITIVE,0,1,0,0,-0.0823471718352491,7
CANDIDATE,0,0,0,0,-0.08548746596445153,0
FALSE POSITIVE,1,0,1,1,0.0011269731297744738,3
FALSE POSITIVE,0,0,1,0,0.014681507993576768,1
CANDIDATE,0,0,0,0,-0.07808534408847438,0
FALSE POSITIVE,1,0,1,0,-0.006243104928557745,5
FALSE POSITIVE,1,0,1,1,-0.08430184471158939,3
FALSE POSITIVE,1,0,0,1,-0.08068089331771312,2
FALSE POSITIVE,0,0,1,0,0.5945464320960976,1
CANDIDATE,0,0,0,0,-0.08436593234687924,0
FALSE POSITIVE,0,1,0,0,-0.07863008898843808,7
CANDIDATE,0,0,0,0,-0.08491067724684291,0
CANDIDATE,0,0,0,0,-0.07061913457720741,0
CANDIDATE,0,0,0,0,-0.08391731889985031,0
FALSE POSITIVE,0,1,0,0,-0.08337257399988664,7
FALSE POSITIVE,1,0,0,1,-0.08564768505267613,2
FALSE POSITIVE,0,1,0,0,0.004299311076621825,7
FALSE POSITIVE,0,1,0,0,0.08918338401802199,7
FALSE POSITIVE,0,0,1,0,0.10997982166957682,1
FALSE POSITIVE,1,0,1,1,-0.08523111542329215,3
CANDIDATE,0,0,0,0,-0.07837373844727868,0
FALSE POSITIVE,0,1,0,0,0.23559158683767373,7
FALSE POSITIVE,0,0,1,0,0.10946712058725805,1
FALSE POSITIVE,0,1,0,0,0.4361217976595999,7
FALSE POSITIVE,0,0,0,1,-0.08612834231734998,6
CANDIDATE,0,0,0,0,-0.0865769557643789,0
FALSE POSITIVE,1,0,1,1,-0.012235298828158277,3
FALSE POSITIVE,0,1,0,0,-0.07545775104159072,7
FALSE POSITIVE,1,0,0,1,-0.03146158941511189,2
CANDIDATE,0,0,0,0,-0.08167425166470572,0
FALSE POSITIVE,1,0,1,0,0.5410973442643666,5
FALSE POSITIVE,1,0,0,1,-0.08295600437050263,2
CANDIDATE,0,0,0,0,-0.08010410460010452,0
FALSE POSITIVE,1,1,0,0,-0.08612834231734998,10
FALSE POSITIVE,0,1,0,0,-0.07984775405894513,7
FALSE POSITIVE,0,1,0,0,-0.08282782909992294,7
CANDIDATE,0,0,0,0,-0.08250739092347371,0
CANDIDATE,0,0,0,0,-0.0854554221468066,0
FALSE POSITIVE,0,1,0,1,-0.06459489685996195,11
CANDIDATE,0,0,0,0,0.4076027999556187,0
FALSE POSITIVE,0,1,0,0,0.03121611789835686,7
CANDIDATE,0,0,0,0,-0.07955935970014083,0
FALSE POSITIVE,1,0,1,1,0.4336544237009408,3
CANDIDATE,0,0,0,0,-0.0797836664236553,0
FALSE POSITIVE,1,0,0,1,-0.08715374448198751,2
FALSE POSITIVE,1,0,0,1,-0.0865769557643789,2
FALSE POSITIVE,1,0,0,0,-0.08491067724684291,4
FALSE POSITIVE,0,0,0,1,-0.08795483992311058,6
FALSE POSITIVE,0,0,1,0,-0.015119242416201325,1
CANDIDATE,0,0,0,0,-0.08667308721731366,0
FALSE POSITIVE,0,0,1,0,-0.039440500008697636,1
CANDIDATE,0,0,0,0,-0.08186651457057526,0
FALSE POSITIVE,1,0,1,0,-0.06594073720104869,5
CANDIDATE,0,0,0,0,-0.08590403559383553,0
CANDIDATE,0,0,0,0,-0.08500680869977768,0
CANDIDATE,0,0,0,0,-0.0793670967942713,0
CANDIDATE,0,0,0,0,-0.07488096232398211,0
CANDIDATE,0,0,0,0,-0.0864487804937992,0
FALSE POSITIVE,1,0,0,0,-0.08571177268796598,4
CANDIDATE,0,0,0,0,-0.08330848636459678,0
