koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_depth,koi_teq,koi_impact,koi_insol,koi_model_snr,koi_pdisposition,hier_labels_5,hier_labels_10,dbscan_labels_5
0,0,0,0,-0.07680359138267748,-0.3013201031170781,-0.3970656306774233,0.3767584693328069,-0.04749714116080822,-0.3039888729960475,CANDIDATE,4,0,0
0,0,0,0,-0.07962344733543067,-0.29558888258919136,-0.7716616886709011,-0.021729200067474242,-0.04800729338065221,-0.2918006975897429,CANDIDATE,4,0,0
0,0,0,0,-0.08100133149416235,-0.3073382374342147,-0.42188114240569785,0.31872628446868834,-0.04755674474421499,-0.24423131396513684,CANDIDATE,4,0,0
0,0,0,0,-0.08372505599398078,-0.31109281009435874,-0.1713626430535928,0.3599936159276172,-0.046706195098182024,-0.29310234739041624,CANDIDATE,4,0,0
0,0,1,0,-0.041299041432103153,-0.0259005035798891,-0.20681337409398504,-0.6213951103300333,-0.04686322420123878,0.6399438960922177,FALSE POSITIVE,8,0,1
0,0,0,0,-0.0830521358234374,-0.30010189538895116,-0.8378363866129667,-0.7967812690304806,-0.04803771665957086,-0.3146387350015563,CANDIDATE,4,0,0
0,0,0,0,-0.08253943474111863,-0.2979970770169944,-0.6960334624513977,-0.7451971047068197,-0.047955857914931774,-0.3030422185955578,CANDIDATE,4,0,0
0,0,0,0,-0.08308417964108233,-0.3001583374458528,-0.9571871811156205,-0.7619619581120095,-0.04807009318402319,-0.32315862460596334,CANDIDATE,4,0,0
0,0,0,0,-0.07017052113017849,-0.25189802704258535,-0.14063867615191952,-0.07847178082350138,-0.04655804438391477,0.05964474859204815,CANDIDATE,4,0,0
0,0,0,0,-0.06539599230108502,-0.23979238171337047,-0.7976588914338555,0.3767584693328069,-0.04802031501754346,-0.3051721909966596,CANDIDATE,4,0,0
0,0,0,0,-0.08308417964108233,-0.3036930212593176,-0.37815857412254744,0.38191688576517313,-0.047450263267999726,-0.3028055549954354,CANDIDATE,4,0,0
0,0,1,0,-0.05347569213717377,-0.14298249536521476,-0.3651599727410703,-0.3802391421169181,-0.0474127372780495,0.5329719488368847,FALSE POSITIVE,8,0,1
