koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
CANDIDATE,0,0,0,0,-0.08398140653514016,24
FALSE POSITIVE,0,1,0,0,-0.08558359741738629,23
FALSE POSITIVE,0,0,1,0,0.07495592898367634,0
CANDIDATE,0,0,0,0,-0.08032841132361897,24
FALSE POSITIVE,1,0,1,1,-0.08583994795854567,21
CANDIDATE,0,0,0,0,-0.08648082431144413,24
FALSE POSITIVE,0,1,0,0,0.012182090217272795,4
FALSE POSITIVE,0,0,1,0,0.1612499299014531,0
CANDIDATE,0,0,0,0,-0.08269965382934326,24
CANDIDATE,0,0,0,0,-0.08394936271749524,24
FALSE POSITIVE,0,0,1,0,0.05560146312614304,0
CANDIDATE,0,0,0,0,-0.07907870243546698,24
FALSE POSITIVE,1,0,1,1,-0.0675108842656499,21
CANDIDATE,0,0,0,0,-0.0834687054528214,24
CANDIDATE,0,0,0,0,-0.08013614841774944,24
FALSE POSITIVE,1,0,0,0,-0.08587199177619059,3
FALSE POSITIVE,0,0,1,0,0.46380765610481306,9
FALSE POSITIVE,0,1,0,0,0.07601337496595878,4
CANDIDATE,0,0,0,0,-0.07491300614162705,24
CANDIDATE,0,0,0,0,-0.0830521358234374,24
FALSE POSITIVE,0,0,1,0,0.15118817116094735,0
CANDIDATE,0,0,0,0,-0.08660899958202382,24
FALSE POSITIVE,0,1,0,0,-0.0823471718352491,23
CANDIDATE,0,0,0,0,-0.08548746596445153,24
FALSE POSITIVE,1,0,1,1,0.0011269731297744738,21
FALSE POSITIVE,0,0,1,0,0.014681507993576768,0
CANDIDATE,0,0,0,0,-0.07808534408847438,24
FALSE POSITIVE,1,0,1,0,-0.006243104928557745,12
FALSE POSITIVE,1,0,1,1,-0.08430184471158939,21
FALSE POSITIVE,1,0,0,1,-0.08068089331771312,11
FALSE POSITIVE,0,0,1,0,0.5945464320960976,9
CANDIDATE,0,0,0,0,-0.08436593234687924,24
FALSE POSITIVE,0,1,0,0,-0.07863008898843808,23
CANDIDATE,0,0,0,0,-0.08491067724684291,24
CANDIDATE,0,0,0,0,-0.07061913457720741,24
CANDIDATE,0,0,0,0,-0.08391731889985031,24
