koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad
CANDIDATE,0,0,0,0,2.95
CANDIDATE,0,0,0,0,1.7
CANDIDATE,0,0,0,0,2.94
FALSE POSITIVE,0,1,0,0,20.7
CANDIDATE,0,0,0,0,3.13
CANDIDATE,0,0,0,0,4.06
FALSE POSITIVE,0,0,1,0,26.56
CANDIDATE,0,0,0,0,3.82
FALSE POSITIVE,0,0,1,0,44.04
CANDIDATE,0,0,0,0,2.11
CANDIDATE,0,0,0,0,2.06
CANDIDATE,0,0,0,0,1.57
CANDIDATE,0,0,0,0,2.3
CANDIDATE,0,0,0,0,3.18
CANDIDATE,0,0,0,0,10.43
FALSE POSITIVE,1,0,1,0,23.88
CANDIDATE,0,0,0,0,4.09
CANDIDATE,0,0,0,0,2.58
CANDIDATE,0,0,0,0,3.05
CANDIDATE,0,0,0,0,5.5
CANDIDATE,0,0,0,0,5.22
CANDIDATE,0,0,0,0,4.0
CANDIDATE,0,0,0,0,1.94
CANDIDATE,0,0,0,0,2.13
CANDIDATE,0,0,0,0,1.24
CANDIDATE,0,0,0,0,10.62
CANDIDATE,0,0,0,0,2.74
CANDIDATE,0,0,0,0,3.12
CANDIDATE,0,0,0,0,1.45
CANDIDATE,0,0,0,0,1.78
CANDIDATE,0,0,0,0,39.0
CANDIDATE,0,0,0,0,3.43
CANDIDATE,0,0,0,0,43.17
CANDIDATE,0,0,0,0,2.07
CANDIDATE,0,0,0,0,7.12
CANDIDATE,0,0,0,0,2.32
CANDIDATE,0,0,0,0,1.32
CANDIDATE,0,0,0,0,1.84
FALSE POSITIVE,0,0,1,0,59.56
FALSE POSITIVE,0,0,1,0,23.6
FALSE POSITIVE,0,1,0,0,5.06
FALSE POSITIVE,0,0,1,0,13.66
FALSE POSITIVE,0,0,1,0,34.39
CANDIDATE,0,0,0,0,133.56
FALSE POSITIVE,1,0,1,0,23.61
FALSE POSITIVE,1,0,0,1,27.85
FALSE POSITIVE,1,0,0,0,23.35
FALSE POSITIVE,0,0,1,0,403.59
CANDIDATE,0,0,0,0,7.67
FALSE POSITIVE,1,0,1,0,1.25
FALSE POSITIVE,1,0,0,0,7.47
CANDIDATE,0,0,0,0,2.47
CANDIDATE,0,0,0,0,1.62
FALSE POSITIVE,1,1,0,0,17.12
CANDIDATE,0,0,0,0,13.92
FALSE POSITIVE,1,1,0,1,3.22
FALSE POSITIVE,1,0,0,1,1.19
CANDIDATE,0,0,0,0,1.78
CANDIDATE,0,0,0,0,8.78
CANDIDATE,0,0,0,0,8.25
FALSE POSITIVE,1,0,1,1,7.48
FALSE POSITIVE,0,1,0,0,2.78
CANDIDATE,0,0,0,0,2.52
CANDIDATE,0,0,0,0,1.69
FALSE POSITIVE,0,0,1,0,78.54
FALSE POSITIVE,1,0,0,0,14.71
FALSE POSITIVE,1,0,1,1,1.45
CANDIDATE,0,0,0,0,1.41
CANDIDATE,0,0,0,0,2.01
FALSE POSITIVE,1,0,1,1,67.37
CANDIDATE,0,0,0,0,5.88
CANDIDATE,0,0,0,0,7.62
CANDIDATE,0,0,0,0,1.59
FALSE POSITIVE,1,0,0,1,1.81
CANDIDATE,0,0,0,0,5.24
FALSE POSITIVE,0,0,1,0,25.89
FALSE POSITIVE,0,0,1,0,16.91
FALSE POSITIVE,1,0,1,1,56.44
FALSE POSITIVE,0,0,1,0,11.36
FALSE POSITIVE,0,1,0,1,33.65
CANDIDATE,0,0,0,0,430.99
FALSE POSITIVE,0,1,0,0,71.39
FALSE POSITIVE,0,0,1,0,2436.69
FALSE POSITIVE,0,0,1,0,68.02
FALSE POSITIVE,1,0,1,1,1.56
FALSE POSITIVE,0,1,0,0,12.1
CANDIDATE,0,0,0,0,2.54
CANDIDATE,0,0,0,0,1.67
CANDIDATE,0,0,0,0,2.39
CANDIDATE,0,0,0,0,2.39
CANDIDATE,0,0,0,0,1.54
CANDIDATE,0,0,0,0,2.33
CANDIDATE,0,0,0,0,2.48
CANDIDATE,0,0,0,0,2.73
FALSE POSITIVE,1,0,0,1,25.2
CANDIDATE,0,0,0,0,2.03
FALSE POSITIVE,1,0,1,0,8.96
FALSE POSITIVE,1,0,1,1,5.09
FALSE POSITIVE,1,0,1,1,19.0
FALSE POSITIVE,1,0,1,0,97.27
FALSE POSITIVE,1,0,1,0,34.14
CANDIDATE,0,0,0,0,7.14
CANDIDATE,0,0,0,0,2.29
FALSE POSITIVE,1,0,0,0,1.42
CANDIDATE,0,0,0,0,1.92
CANDIDATE,0,0,0,0,1.75
CANDIDATE,0,0,0,0,1.67
FALSE POSITIVE,1,0,1,1,38.6
FALSE POSITIVE,1,0,0,1,0.98
FALSE POSITIVE,1,0,1,0,40.15
CANDIDATE,0,0,0,0,1.68
CANDIDATE,0,0,0,0,3.51
CANDIDATE,0,0,0,0,2.67
FALSE POSITIVE,0,0,0,1,0.65
CANDIDATE,0,0,0,0,10.4
CANDIDATE,0,0,0,0,2.01
FALSE POSITIVE,1,0,0,0,1.57
CANDIDATE,0,0,0,0,1.23
CANDIDATE,0,0,0,0,3.63
CANDIDATE,0,0,0,0,1.21
CANDIDATE,0,0,0,0,2.18
CANDIDATE,0,0,0,0,2.82
FALSE POSITIVE,1,0,0,1,2.92
CANDIDATE,0,0,0,0,12.14
CANDIDATE,0,0,0,0,5.85
CANDIDATE,0,0,0,0,1.14
CANDIDATE,0,0,0,0,2.98
CANDIDATE,0,0,0,0,1.7
CANDIDATE,0,0,0,0,2.96
FALSE POSITIVE,1,0,0,0,0.62
FALSE POSITIVE,0,0,1,0,20.06
FALSE POSITIVE,0,0,1,0,53.25
FALSE POSITIVE,1,0,1,0,35.27
FALSE POSITIVE,0,0,1,0,32.11
FALSE POSITIVE,1,0,1,1,37.47
CANDIDATE,0,0,0,0,2.28
CANDIDATE,0,0,0,0,1.01
CANDIDATE,0,0,0,0,1.16
CANDIDATE,0,0,0,0,3.39
CANDIDATE,0,0,0,0,3.7
CANDIDATE,0,0,0,0,1.62
CANDIDATE,0,0,0,0,2.41
CANDIDATE,0,0,0,0,1.75
CANDIDATE,0,0,0,0,1.74
FALSE POSITIVE,1,0,1,1,6.85
CANDIDATE,0,0,0,0,2.02
FALSE POSITIVE,1,0,1,0,2.02
FALSE POSITIVE,0,0,1,0,102.08
CANDIDATE,0,0,0,0,67.35
FALSE POSITIVE,1,0,1,1,65.25
CANDIDATE,0,0,0,0,1.85
FALSE POSITIVE,0,0,1,0,5.33
FALSE POSITIVE,1,0,1,1,3.6
CANDIDATE,0,0,0,0,2.26
FALSE POSITIVE,0,0,1,0,26.67
FALSE POSITIVE,1,0,1,0,21.81
FALSE POSITIVE,1,0,1,0,67.17
FALSE POSITIVE,0,1,0,1,23.05
CANDIDATE,0,0,0,0,3.29
CANDIDATE,0,0,0,0,1.45
CANDIDATE,0,0,0,0,2.12
FALSE POSITIVE,1,0,1,1,22.32
FALSE POSITIVE,1,0,1,1,24.6
FALSE POSITIVE,0,0,1,0,27.36
FALSE POSITIVE,0,0,1,0,16.94
CANDIDATE,0,0,0,0,9.29
FALSE POSITIVE,0,0,1,0,49.82
FALSE POSITIVE,1,0,1,1,14.35
CANDIDATE,0,0,0,0,2.86
CANDIDATE,0,0,0,0,1.39
CANDIDATE,0,0,0,0,1.19
CANDIDATE,0,0,0,0,1.16
CANDIDATE,0,0,0,0,1.48
FALSE POSITIVE,0,0,1,0,20.05
FALSE POSITIVE,1,0,0,1,13.63
FALSE POSITIVE,1,0,0,1,3.32
FALSE POSITIVE,1,0,1,0,19.51
CANDIDATE,0,0,0,0,3.42
CANDIDATE,0,0,0,0,2.2
CANDIDATE,0,0,0,0,3.02
FALSE POSITIVE,0,0,1,0,36.14
CANDIDATE,0,0,0,0,2.54
CANDIDATE,0,0,0,0,2.18
FALSE POSITIVE,1,0,0,0,0.82
CANDIDATE,0,0,0,0,3.71
CANDIDATE,0,0,0,0,1.56
CANDIDATE,0,0,0,0,5.11
CANDIDATE,0,0,0,0,2.98
CANDIDATE,0,0,0,0,4.75
FALSE POSITIVE,1,0,1,1,37.15
CANDIDATE,0,0,0,0,2.63
FALSE POSITIVE,1,1,0,1,29.55
FALSE POSITIVE,1,1,0,0,43.98
CANDIDATE,0,0,0,0,2.73
CANDIDATE,0,0,0,0,4.14
CANDIDATE,0,0,0,0,2.0
CANDIDATE,0,0,0,0,5.99
CANDIDATE,0,0,0,0,3.42
CANDIDATE,0,0,0,0,1.17
FALSE POSITIVE,0,0,1,0,40.35
FALSE POSITIVE,1,0,1,1,4.86
CANDIDATE,0,0,0,0,5.17
FALSE POSITIVE,1,0,0,1,1.29
CANDIDATE,0,0,0,0,1.95
FALSE POSITIVE,1,0,1,1,1.25
CANDIDATE,0,0,0,0,12.05
CANDIDATE,0,0,1,0,18.66
FALSE POSITIVE,0,1,0,0,15.25
FALSE POSITIVE,1,0,1,0,35.8
FALSE POSITIVE,1,0,1,1,3.28
CANDIDATE,0,0,0,0,97.36
CANDIDATE,0,0,0,0,1.38
CANDIDATE,0,0,0,0,1.58
FALSE POSITIVE,1,0,1,1,37.37
FALSE POSITIVE,1,0,0,0,2.74
CANDIDATE,0,0,0,0,4.56
CANDIDATE,0,0,0,0,77.76
CANDIDATE,0,0,0,0,2.74
CANDIDATE,0,0,0,0,5.34
CANDIDATE,0,0,0,0,2.9
CANDIDATE,0,0,0,0,4.91
FALSE POSITIVE,0,0,1,0,19.68
CANDIDATE,0,0,0,0,2.01
FALSE POSITIVE,0,1,0,0,38.98
FALSE POSITIVE,1,0,0,0,1.17
FALSE POSITIVE,0,0,0,1,1.37
CANDIDATE,0,0,0,0,1.65
CANDIDATE,0,0,0,0,2.05
CANDIDATE,0,0,0,0,1.87
CANDIDATE,0,0,0,0,2.0
FALSE POSITIVE,1,0,0,1,1.44
CANDIDATE,0,0,0,0,2.32
CANDIDATE,0,0,0,0,0.74
FALSE POSITIVE,1,0,0,1,1.19
CANDIDATE,0,0,0,0,2.31
CANDIDATE,0,0,0,0,4.43
CANDIDATE,0,0,0,0,2.4
CANDIDATE,0,0,0,0,2.7
FALSE POSITIVE,1,0,1,1,4.42
FALSE POSITIVE,0,0,1,0,19.81
FALSE POSITIVE,1,0,0,1,3.78
FALSE POSITIVE,0,1,0,0,19.07
CANDIDATE,0,0,0,0,2.04
CANDIDATE,0,0,0,0,4.39
FALSE POSITIVE,1,0,1,1,1.35
FALSE POSITIVE,0,0,1,0,28.15
CANDIDATE,0,0,0,0,1.67
CANDIDATE,0,0,0,0,1.42
CANDIDATE,0,0,0,0,1.25
CANDIDATE,0,0,0,0,2.07
CANDIDATE,0,0,0,0,1.71
CANDIDATE,0,0,0,0,0.9
CANDIDATE,0,0,0,0,1.22
CANDIDATE,0,0,0,0,0.94
CANDIDATE,0,0,0,0,1.83
CANDIDATE,0,0,0,0,2.37
CANDIDATE,0,0,0,0,21.95
CANDIDATE,0,0,0,0,3.24
CANDIDATE,0,0,0,0,8.31
CANDIDATE,0,0,0,0,4.18
CANDIDATE,0,0,0,0,5.94
CANDIDATE,0,0,0,0,2.36
FALSE POSITIVE,1,0,0,0,2.93
CANDIDATE,0,0,0,0,3.24
FALSE POSITIVE,1,0,0,0,37.99
CANDIDATE,0,0,0,0,1.52
CANDIDATE,0,0,0,0,7.62
FALSE POSITIVE,1,0,0,0,1.19
CANDIDATE,0,0,0,0,0.9
CANDIDATE,0,0,0,0,2.21
FALSE POSITIVE,1,0,1,1,36.87
CANDIDATE,0,0,0,0,4.32
FALSE POSITIVE,0,0,1,0,14.45
FALSE POSITIVE,0,1,0,0,57.77
CANDIDATE,0,0,1,0,26.06
FALSE POSITIVE,1,0,0,1,25.54
FALSE POSITIVE,0,0,1,0,5.65
CANDIDATE,0,0,0,0,3.05
CANDIDATE,0,0,0,0,1.94
CANDIDATE,0,0,0,0,1.83
CANDIDATE,0,0,0,0,2.17
CANDIDATE,0,0,0,0,1.23
CANDIDATE,0,0,0,0,1.47
FALSE POSITIVE,0,0,1,0,38.81
FALSE POSITIVE,1,0,0,1,18.93
CANDIDATE,0,0,0,0,2.7
FALSE POSITIVE,1,0,0,1,1.71
CANDIDATE,0,0,0,0,1.86
CANDIDATE,0,0,0,0,2.03
CANDIDATE,0,0,0,0,9.83
CANDIDATE,0,0,0,0,5.1
FALSE POSITIVE,1,0,1,0,72.52
FALSE POSITIVE,0,0,1,1,9.84
FALSE POSITIVE,1,0,0,1,149.71
FALSE POSITIVE,1,0,0,1,2.08
CANDIDATE,0,0,0,0,5.4
CANDIDATE,0,0,0,0,2.77
CANDIDATE,0,0,0,0,1.94
CANDIDATE,0,0,0,0,4.66
CANDIDATE,0,0,1,0,21.42
CANDIDATE,0,0,0,0,10.63
CANDIDATE,0,0,0,0,3.1
CANDIDATE,0,0,0,0,3.01
FALSE POSITIVE,1,0,1,0,10.05
FALSE POSITIVE,1,0,0,1,34.0
CANDIDATE,0,0,0,0,4.84
CANDIDATE,0,0,0,0,2.79
CANDIDATE,0,0,0,0,1.64
CANDIDATE,0,0,0,0,3.07
