koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_depth,koi_teq,koi_impact,koi_insol,koi_model_snr
FALSE POSITIVE,1,0,0,1,1.7,589.2,918.0,0.014,168.45,48.5
CANDIDATE,0,0,0,0,11.3,15044.0,1539.0,0.514,1329.42,1009.3
CANDIDATE,0,0,0,0,2.5,1008.7,886.0,0.003,145.48,70.6
CANDIDATE,0,0,0,0,3.41,2105.5,518.0,0.26,17.06,78.5
CANDIDATE,0,0,0,0,2.03,1632.6,656.0,0.466,43.73,71.6
FALSE POSITIVE,1,0,1,0,30.26,1339.2,1326.0,1.255,730.47,64.9
CANDIDATE,0,0,0,0,3.12,893.6,701.0,0.08,57.13,46.1
CANDIDATE,0,0,0,0,1.7,140.7,1262.0,0.529,598.74,50.6
CANDIDATE,0,0,0,0,2.76,418.0,870.0,0.949,135.66,28.5
CANDIDATE,0,0,0,0,4.02,993.0,550.0,0.911,21.71,39.7
CANDIDATE,0,0,0,0,11.58,22335.0,975.0,0.12,213.12,1996.7
CANDIDATE,0,0,0,0,7.61,4523.6,511.0,0.934,16.1,76.8
CANDIDATE,0,0,0,0,5.52,2472.1,964.0,0.517,204.39,113.2
CANDIDATE,0,0,0,0,1.8,1182.3,329.0,0.416,2.77,27.5
CANDIDATE,0,0,0,0,2.1,1558.0,460.0,0.573,10.55,56.4
FALSE POSITIVE,0,0,1,0,27.5,82872.0,500.0,0.501,14.81,1300.0
FALSE POSITIVE,0,0,1,0,30.09,2450.6,1155.0,1.28,421.08,296.9
FALSE POSITIVE,1,0,1,1,13.65,616.0,1031.0,1.121,266.76,138.2
CANDIDATE,0,0,0,0,2.89,430.2,874.0,0.173,137.91,107.4
CANDIDATE,0,0,0,0,3.38,1175.4,639.0,0.053,39.33,37.8
FALSE POSITIVE,0,0,1,0,10.34,15148.0,814.0,0.733,104.0,389.0
CANDIDATE,0,0,0,0,11.01,15337.0,600.0,0.692,30.54,166.0
CANDIDATE,0,0,0,0,2.11,887.9,687.0,0.047,52.82,39.3
CANDIDATE,0,0,0,0,1.46,417.5,823.0,0.258,108.84,21.3
CANDIDATE,0,0,0,0,2.44,780.7,914.0,0.524,165.33,70.8
FALSE POSITIVE,1,0,0,0,3.86,962.4,1047.0,0.941,284.25,50.3
FALSE POSITIVE,1,0,0,1,26.25,1177.9,1261.0,1.241,597.19,110.2
CANDIDATE,0,0,0,0,8.99,10859.0,1021.0,0.736,257.29,568.2
CANDIDATE,0,0,0,0,5.0,3081.4,610.0,0.773,32.67,86.6
CANDIDATE,0,0,0,0,1.06,50.0,1074.0,0.706,314.15,14.7
CANDIDATE,0,0,0,0,6.5,5073.8,481.0,0.798,12.61,117.2
FALSE POSITIVE,0,0,1,0,12.28,16228.0,1104.0,0.709,351.05,323.4
FALSE POSITIVE,0,0,1,0,17.61,44791.0,796.0,0.377,95.03,1671.1
FALSE POSITIVE,0,0,1,0,31.44,2453.9,1133.0,1.276,388.71,117.2
CANDIDATE,0,0,0,0,7.89,3341.8,731.0,0.008,67.65,266.3
CANDIDATE,0,0,0,0,3.06,504.6,888.0,0.014,146.67,49.1
CANDIDATE,0,0,0,0,2.32,285.0,1146.0,0.235,406.94,35.1
CANDIDATE,0,0,0,0,1.62,115.9,1642.0,0.746,1718.04,19.9
CANDIDATE,0,0,0,0,1.53,120.3,1458.0,0.196,1066.86,50.4
CANDIDATE,0,0,0,0,2.67,370.3,568.0,0.379,24.64,19.4
CANDIDATE,0,0,0,0,2.35,1037.3,616.0,0.048,33.99,48.9
CANDIDATE,0,0,0,0,2.37,862.7,366.0,0.7,4.22,20.9
FALSE POSITIVE,1,0,1,1,17.06,1268.1,1010.0,1.178,244.87,50.5
CANDIDATE,0,0,0,0,2.25,875.4,696.0,0.3,55.37,38.4
CANDIDATE,0,0,0,0,1.48,391.8,864.0,0.004,132.08,22.8
FALSE POSITIVE,0,0,1,0,38.33,6044.3,1114.0,1.259,364.23,269.7
CANDIDATE,0,0,0,0,8.24,9768.0,713.0,0.644,61.16,482.3
CANDIDATE,0,0,0,0,5.39,3812.1,1038.0,0.045,274.98,99.5
CANDIDATE,0,0,0,0,2.66,510.6,1121.0,0.926,372.62,35.9
CANDIDATE,0,0,0,0,3.01,1024.4,742.0,0.823,71.5,54.4
CANDIDATE,0,0,0,0,3.01,647.5,613.0,0.97,33.48,25.7
CANDIDATE,0,0,0,0,2.19,655.9,810.0,0.644,101.78,24.8
CANDIDATE,0,0,0,0,2.31,1149.4,562.0,0.427,23.6,52.7
CANDIDATE,0,0,0,0,2.64,1563.8,397.0,0.26,5.88,51.7
CANDIDATE,0,0,0,0,6.21,2877.4,1234.0,0.458,547.9,240.6
CANDIDATE,0,0,0,0,4.35,2020.3,1151.0,0.023,415.1,116.1
CANDIDATE,0,0,0,0,3.75,1187.5,727.0,0.791,66.08,74.6
CANDIDATE,0,0,0,0,13.84,25391.0,554.0,0.782,22.24,748.1
CANDIDATE,0,0,0,0,7.59,3604.6,452.0,0.527,9.88,160.9
FALSE POSITIVE,1,0,1,0,26.82,4357.2,954.0,1.266,196.31,122.1
CANDIDATE,0,0,0,0,2.29,269.6,712.0,0.686,60.88,62.0
CANDIDATE,0,0,0,0,2.47,750.6,777.0,0.029,86.22,49.2
CANDIDATE,0,0,0,0,3.68,1442.4,613.0,0.867,33.43,62.6
CANDIDATE,0,0,0,0,10.59,20715.0,188.0,0.778,0.29,271.8
CANDIDATE,0,0,0,0,2.56,1123.6,753.0,0.02,76.06,53.0
CANDIDATE,0,0,0,0,3.03,1572.6,445.0,0.035,9.29,45.5
CANDIDATE,0,0,0,0,2.32,812.4,568.0,0.594,24.6,22.6
CANDIDATE,0,0,0,0,1.94,1626.0,233.0,0.018,0.69,27.4
CANDIDATE,0,0,0,0,11.38,22839.0,453.0,0.377,9.93,907.8
