koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
CANDIDATE,0,0,0,0,-0.07657928465916303,2
CANDIDATE,0,0,0,0,-0.07065117839485233,2
CANDIDATE,0,0,0,0,-0.0816422078470608,2
CANDIDATE,0,0,0,0,-0.08407753798807494,2
FALSE POSITIVE,0,0,1,0,0.059606940331758375,0
CANDIDATE,0,0,0,0,-0.07866213280608299,2
FALSE POSITIVE,1,0,0,1,-0.08731396357021211,5
CANDIDATE,0,0,0,0,-0.04850890040221076,2
FALSE POSITIVE,0,0,1,0,0.07530841097777048,0
CANDIDATE,0,0,0,0,-0.07946322824720606,2
CANDIDATE,0,0,0,0,-0.08068089331771312,2
CANDIDATE,0,0,0,0,-0.05549445264880389,2
FALSE POSITIVE,0,1,0,0,-0.08244330328818386,4
CANDIDATE,0,0,0,0,-0.08478250197626322,2
FALSE POSITIVE,1,0,1,0,-0.0870255692114078,7
CANDIDATE,0,0,0,0,-0.08039249895890882,2
CANDIDATE,0,0,0,0,-0.08676921867024844,2
FALSE POSITIVE,1,0,0,0,-0.08510294015271246,3
CANDIDATE,0,0,0,0,-0.08683330630553827,2
FALSE POSITIVE,1,0,1,0,-0.08590403559383553,7
CANDIDATE,0,0,0,0,-0.08378914362927063,2
CANDIDATE,0,0,0,0,-0.06350540706003456,2
FALSE POSITIVE,1,0,0,0,-0.08478250197626322,3
CANDIDATE,0,0,0,0,-0.08321235491166201,2
FALSE POSITIVE,1,0,1,0,0.22222931487974093,7
CANDIDATE,0,0,0,0,-0.08619242995263983,2
FALSE POSITIVE,1,0,1,1,-0.00018682339366735658,8
CANDIDATE,0,0,0,0,-0.0857438165056109,2
FALSE POSITIVE,1,0,1,1,-0.08779462083488596,8
CANDIDATE,0,0,0,0,-0.056039197548767586,2
FALSE POSITIVE,0,1,0,0,-0.08487863342919799,4
CANDIDATE,0,0,0,0,-0.08638469285850936,2
FALSE POSITIVE,0,0,1,0,-0.03226268485623495,0
FALSE POSITIVE,1,0,0,0,-0.08462228288803861,3
CANDIDATE,0,0,0,0,-0.08391731889985031,2
FALSE POSITIVE,0,0,1,0,0.20992448890409068,0
CANDIDATE,0,0,0,0,-0.07587432067097472,2
CANDIDATE,0,0,0,0,-0.08747418265843673,2
FALSE POSITIVE,1,1,0,1,-0.08481454579390815,5
CANDIDATE,0,0,0,0,-0.08478250197626322,2
CANDIDATE,0,0,0,0,-0.08487863342919799,2
FALSE POSITIVE,1,0,1,1,0.005420844694194112,8
FALSE POSITIVE,1,0,0,0,-0.08571177268796598,3
CANDIDATE,0,0,0,0,-0.08430184471158939,2
FALSE POSITIVE,0,0,1,0,0.41468448365514665,0
FALSE POSITIVE,0,0,1,0,0.11574770884566292,0
CANDIDATE,0,0,0,0,-0.08132176967061158,2
CANDIDATE,0,0,0,0,-0.08555155359974137,2
CANDIDATE,0,0,0,0,-0.083628924541046,2
FALSE POSITIVE,0,1,0,0,-0.0869935253937629,4
FALSE POSITIVE,1,1,0,0,-0.031141151238662665,3
FALSE POSITIVE,0,1,0,0,-0.083628924541046,4
CANDIDATE,0,0,0,0,-0.07971957878836544,2
FALSE POSITIVE,1,1,0,0,-0.08414162562336477,3
CANDIDATE,0,0,0,0,-0.08577586032325583,2
CANDIDATE,0,0,0,0,-0.07488096232398211,2
FALSE POSITIVE,1,1,0,0,-0.007973471081383566,3
FALSE POSITIVE,1,0,1,0,-0.08641673667615428,7
FALSE POSITIVE,0,1,0,1,-0.06132642746017982,4
CANDIDATE,0,0,0,0,-0.08398140653514016,2
FALSE POSITIVE,0,1,0,0,-0.08558359741738629,4
FALSE POSITIVE,0,0,1,0,0.07495592898367634,0
CANDIDATE,0,0,0,0,-0.08032841132361897,2
FALSE POSITIVE,1,0,1,1,-0.08583994795854567,8
CANDIDATE,0,0,0,0,-0.08648082431144413,2
FALSE POSITIVE,0,1,0,0,0.012182090217272795,4
FALSE POSITIVE,0,0,1,0,0.1612499299014531,0
CANDIDATE,0,0,0,0,-0.08269965382934326,2
CANDIDATE,0,0,0,0,-0.08394936271749524,2
FALSE POSITIVE,0,0,1,0,0.05560146312614304,0
CANDIDATE,0,0,0,0,-0.07907870243546698,2
FALSE POSITIVE,1,0,1,1,-0.0675108842656499,8
CANDIDATE,0,0,0,0,-0.0834687054528214,2
CANDIDATE,0,0,0,0,-0.08013614841774944,2
FALSE POSITIVE,1,0,0,0,-0.08587199177619059,3
FALSE POSITIVE,0,0,1,0,0.46380765610481306,0
FALSE POSITIVE,0,1,0,0,0.07601337496595878,4
CANDIDATE,0,0,0,0,-0.07491300614162705,2
CANDIDATE,0,0,0,0,-0.0830521358234374,2
FALSE POSITIVE,0,0,1,0,0.15118817116094735,0
CANDIDATE,0,0,0,0,-0.08660899958202382,2
FALSE POSITIVE,0,1,0,0,-0.0823471718352491,4
CANDIDATE,0,0,0,0,-0.08548746596445153,2
FALSE POSITIVE,1,0,1,1,0.0011269731297744738,8
FALSE POSITIVE,0,0,1,0,0.014681507993576768,0
CANDIDATE,0,0,0,0,-0.07808534408847438,2
FALSE POSITIVE,1,0,1,0,-0.006243104928557745,7
FALSE POSITIVE,1,0,1,1,-0.08430184471158939,8
FALSE POSITIVE,1,0,0,1,-0.08068089331771312,5
FALSE POSITIVE,0,0,1,0,0.5945464320960976,0
CANDIDATE,0,0,0,0,-0.08436593234687924,2
FALSE POSITIVE,0,1,0,0,-0.07863008898843808,4
CANDIDATE,0,0,0,0,-0.08491067724684291,2
CANDIDATE,0,0,0,0,-0.07061913457720741,2
CANDIDATE,0,0,0,0,-0.08391731889985031,2
FALSE POSITIVE,0,1,0,0,-0.08337257399988664,4
FALSE POSITIVE,1,0,0,1,-0.08564768505267613,5
FALSE POSITIVE,0,1,0,0,0.004299311076621825,4
FALSE POSITIVE,0,1,0,0,0.08918338401802199,4
FALSE POSITIVE,0,0,1,0,0.10997982166957682,0
FALSE POSITIVE,1,0,1,1,-0.08523111542329215,8
CANDIDATE,0,0,0,0,-0.07837373844727868,2
FALSE POSITIVE,0,1,0,0,0.23559158683767373,4
FALSE POSITIVE,0,0,1,0,0.10946712058725805,0
FALSE POSITIVE,0,1,0,0,0.4361217976595999,6
FALSE POSITIVE,0,0,0,1,-0.08612834231734998,5
CANDIDATE,0,0,0,0,-0.0865769557643789,2
FALSE POSITIVE,1,0,1,1,-0.012235298828158277,8
FALSE POSITIVE,0,1,0,0,-0.07545775104159072,4
FALSE POSITIVE,1,0,0,1,-0.03146158941511189,5
CANDIDATE,0,0,0,0,-0.08167425166470572,2
FALSE POSITIVE,1,0,1,0,0.5410973442643666,6
FALSE POSITIVE,1,0,0,1,-0.08295600437050263,5
CANDIDATE,0,0,0,0,-0.08010410460010452,2
FALSE POSITIVE,1,1,0,0,-0.08612834231734998,3
FALSE POSITIVE,0,1,0,0,-0.07984775405894513,4
FALSE POSITIVE,0,1,0,0,-0.08282782909992294,4
CANDIDATE,0,0,0,0,-0.08250739092347371,2
CANDIDATE,0,0,0,0,-0.0854554221468066,2
FALSE POSITIVE,0,1,0,1,-0.06459489685996195,4
CANDIDATE,0,0,0,0,0.4076027999556187,2
FALSE POSITIVE,0,1,0,0,0.03121611789835686,4
CANDIDATE,0,0,0,0,-0.07955935970014083,2
FALSE POSITIVE,1,0,1,1,0.4336544237009408,8
CANDIDATE,0,0,0,0,-0.0797836664236553,2
FALSE POSITIVE,1,0,0,1,-0.08715374448198751,5
FALSE POSITIVE,1,0,0,1,-0.0865769557643789,5
FALSE POSITIVE,1,0,0,0,-0.08491067724684291,3
FALSE POSITIVE,0,0,0,1,-0.08795483992311058,5
FALSE POSITIVE,0,0,1,0,-0.015119242416201325,0
CANDIDATE,0,0,0,0,-0.08667308721731366,2
FALSE POSITIVE,0,0,1,0,-0.039440500008697636,0
CANDIDATE,0,0,0,0,-0.08186651457057526,2
FALSE POSITIVE,1,0,1,0,-0.06594073720104869,7
CANDIDATE,0,0,0,0,-0.08590403559383553,2
CANDIDATE,0,0,0,0,-0.08500680869977768,2
CANDIDATE,0,0,0,0,-0.0793670967942713,2
CANDIDATE,0,0,0,0,-0.07488096232398211,2
CANDIDATE,0,0,0,0,-0.0864487804937992,2
FALSE POSITIVE,1,0,0,0,-0.08571177268796598,3
CANDIDATE,0,0,0,0,-0.08330848636459678,2
CANDIDATE,0,0,0,0,-0.08689739394082813,2
FALSE POSITIVE,0,1,0,0,-0.08141790112354635,4
CANDIDATE,0,0,0,0,-0.07798921263553962,2
CANDIDATE,0,0,0,0,-0.08763440174666134,2
CANDIDATE,0,0,0,0,-0.08494272106448784,2
FALSE POSITIVE,0,0,1,0,0.43974274905347616,0
CANDIDATE,0,0,0,0,-0.08430184471158939,2
FALSE POSITIVE,1,0,0,0,0.00676668503528087,3
FALSE POSITIVE,0,0,1,0,0.0629074535491854,0
CANDIDATE,0,0,0,0,-0.08651286812908905,2
CANDIDATE,0,0,0,0,-0.08558359741738629,2
FALSE POSITIVE,1,0,0,0,-0.08119359440003189,3
FALSE POSITIVE,1,1,0,1,-0.08449410761745892,5
FALSE POSITIVE,0,1,0,0,0.053999272243896904,4
FALSE POSITIVE,0,1,0,0,0.01301522947604079,4
CANDIDATE,0,0,0,0,-0.0872819197525672,2
FALSE POSITIVE,0,0,1,0,0.02496757345759695,0
FALSE POSITIVE,1,0,1,0,-0.08394936271749524,7
CANDIDATE,0,0,0,0,-0.08112950676474204,2
FALSE POSITIVE,1,0,1,1,0.11962501078069854,8
FALSE POSITIVE,0,0,1,0,-0.0799438855118799,0
CANDIDATE,0,0,0,0,-0.07702789810619194,2
CANDIDATE,0,0,0,0,-0.07943118442956114,2
FALSE POSITIVE,0,0,1,0,0.013431799105424781,0
FALSE POSITIVE,0,0,1,0,0.053326352073353525,0
CANDIDATE,0,0,0,0,-0.08023227987068421,2
FALSE POSITIVE,0,0,1,0,-0.08161016402941589,0
FALSE POSITIVE,1,0,1,1,-0.017939098368954517,8
CANDIDATE,0,0,0,0,-0.08526315924093707,2
FALSE POSITIVE,0,1,0,0,0.10517324902283842,4
FALSE POSITIVE,0,1,0,1,-0.01559989968087516,4
FALSE POSITIVE,1,0,0,0,-0.08404549417043,3
FALSE POSITIVE,1,0,0,1,-0.07497709377691689,5
FALSE POSITIVE,0,0,1,0,-0.045464737725943095,0
FALSE POSITIVE,0,1,0,0,-0.08529520305858199,4
FALSE POSITIVE,1,1,0,1,-0.08580790414090075,5
FALSE POSITIVE,1,0,1,0,-0.07859804517079315,7
FALSE POSITIVE,1,1,0,1,0.15157269697268644,5
FALSE POSITIVE,1,0,0,1,-0.08542337832916168,5
CANDIDATE,0,0,0,0,-0.08692943775847305,2
FALSE POSITIVE,0,0,1,0,0.0777437411187846,0
CANDIDATE,0,0,0,0,-0.08045658659419867,2
