koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
CANDIDATE,0,0,0,0,-0.0803604551412639,3
FALSE POSITIVE,0,1,0,0,0.06483008260788076,3
FALSE POSITIVE,0,1,0,0,0.3415284479717881,3
CANDIDATE,0,0,0,0,-0.08462228288803861,3
FALSE POSITIVE,0,0,1,0,0.09511149028233269,2
CANDIDATE,0,0,0,0,-0.08567972887032106,3
CANDIDATE,0,0,0,0,-0.08491067724684291,3
CANDIDATE,0,0,0,0,-0.08337257399988664,3
FALSE POSITIVE,0,0,1,0,0.10187273580541138,2
FALSE POSITIVE,1,0,0,1,-0.08763440174666134,0
FALSE POSITIVE,0,0,1,0,0.035702252368646055,2
CANDIDATE,0,0,0,0,-0.08225104038231433,3
CANDIDATE,0,0,0,0,-0.08712170066434258,3
CANDIDATE,0,0,0,0,-0.07581023303568489,3
CANDIDATE,0,0,0,0,-0.0872819197525672,3
FALSE POSITIVE,0,0,1,0,1.7840449868932722,2
CANDIDATE,0,0,0,0,0.005613107600063656,3
CANDIDATE,0,0,0,0,-0.07609862739448918,3
CANDIDATE,0,0,0,0,-0.06539599230108502,3
CANDIDATE,0,0,0,0,-0.0823471718352491,3
FALSE POSITIVE,0,0,0,1,-0.08632060522321952,3
CANDIDATE,0,0,0,0,-0.0851670277880023,3
CANDIDATE,0,0,0,0,-0.0872819197525672,3
CANDIDATE,0,0,0,0,-0.08253943474111863,3
FALSE POSITIVE,0,0,1,0,-0.054469050484166365,2
CANDIDATE,0,0,0,0,-0.08398140653514016,3
FALSE POSITIVE,0,0,1,0,0.12667465066258154,2
FALSE POSITIVE,0,1,0,0,-0.08193060220586511,3
CANDIDATE,0,0,0,0,-0.05120058108438426,3
FALSE POSITIVE,0,0,1,0,-0.00903091706366601,2
CANDIDATE,0,0,0,0,-0.061070076919020444,3
CANDIDATE,0,0,0,0,-0.08295600437050263,3
FALSE POSITIVE,1,1,0,0,0.34450852301276597,0
FALSE POSITIVE,1,1,0,0,-0.0867051310349586,0
CANDIDATE,0,0,0,0,-0.08481454579390815,3
CANDIDATE,0,0,0,0,-0.07907870243546698,3
CANDIDATE,0,0,0,0,-0.0813538134882565,3
FALSE POSITIVE,1,0,1,1,-0.08039249895890882,0
CANDIDATE,0,0,0,0,-0.07997592932952483,3
CANDIDATE,0,0,0,0,-0.08561564123503122,3
CANDIDATE,0,0,0,0,-0.08606425468206014,3
CANDIDATE,0,0,0,0,-0.08465432670568354,3
CANDIDATE,0,0,0,0,-0.066229131559853,3
FALSE POSITIVE,0,1,0,0,0.09299659831776778,3
FALSE POSITIVE,1,1,0,0,-0.08596812322912536,0
CANDIDATE,0,0,0,0,-0.014318146975078258,3
FALSE POSITIVE,1,0,0,1,-0.059596061307354,0
FALSE POSITIVE,0,0,0,1,-0.08519907160564723,3
CANDIDATE,0,0,0,0,-0.08507089633506752,3
CANDIDATE,0,0,0,0,-0.08487863342919799,3
FALSE POSITIVE,1,0,0,1,-0.08641673667615428,0
CANDIDATE,0,0,0,0,-0.06488329121876624,3
FALSE POSITIVE,0,0,0,1,-0.08039249895890882,3
CANDIDATE,0,0,0,0,-0.08330848636459678,3
FALSE POSITIVE,0,0,1,0,-0.010184494498883236,2
CANDIDATE,0,0,0,0,-0.07927096534133653,3
CANDIDATE,0,0,0,0,-0.08401345035278508,3
CANDIDATE,0,0,0,0,-0.08273169764698816,3
CANDIDATE,0,0,0,0,-0.0861603861349949,3
CANDIDATE,0,0,0,0,-0.08734600738785704,3
FALSE POSITIVE,0,1,0,0,0.20710463295133744,3
CANDIDATE,0,0,0,0,-0.0860001670467703,3
FALSE POSITIVE,0,0,1,0,0.04762255253255729,2
FALSE POSITIVE,0,0,1,0,0.1314171356740301,2
FALSE POSITIVE,0,0,1,0,0.6486043524630822,2
CANDIDATE,0,0,0,0,-0.08564768505267613,3
FALSE POSITIVE,1,1,0,0,-0.08676921867024844,0
CANDIDATE,0,0,0,0,-0.08468637052332846,3
CANDIDATE,0,0,0,0,-0.08343666163517648,3
FALSE POSITIVE,0,1,0,0,0.1701260673890967,3
CANDIDATE,0,0,0,0,-0.08311622345872724,3
CANDIDATE,0,0,0,0,-0.08388527508220539,3
FALSE POSITIVE,1,0,0,1,-0.08580790414090075,0
FALSE POSITIVE,0,0,1,0,0.20886704292180822,2
FALSE POSITIVE,0,0,1,0,-0.06376175760119396,2
FALSE POSITIVE,0,1,0,0,-0.08692943775847305,3
FALSE POSITIVE,1,0,0,1,-0.00871047888721679,0
FALSE POSITIVE,0,0,1,0,0.12247691055109666,2
FALSE POSITIVE,0,1,0,0,-0.08302009200579248,3
FALSE POSITIVE,0,0,1,0,0.13237845020337777,2
FALSE POSITIVE,0,1,0,0,0.31288127499722723,3
FALSE POSITIVE,0,0,1,0,0.09142645125316659,2
FALSE POSITIVE,0,0,1,0,0.11142179346359833,2
CANDIDATE,0,0,0,0,-0.08548746596445153,3
CANDIDATE,0,0,0,0,-0.07449643651224304,3
FALSE POSITIVE,0,0,1,0,0.010643986970316505,2
CANDIDATE,0,0,0,0,-0.08020023605303928,3
CANDIDATE,0,0,0,0,-0.08253943474111863,3
CANDIDATE,0,0,0,0,-0.08180242693528542,3
CANDIDATE,0,0,0,0,0.14240816512623858,3
FALSE POSITIVE,1,0,1,1,-0.02527713260964181,0
CANDIDATE,0,0,0,0,-0.08141790112354635,3
CANDIDATE,0,0,0,0,-0.0816422078470608,3
FALSE POSITIVE,1,0,0,1,-0.08532724687622692,0
