koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
CANDIDATE,0,0,0,0,1.55,0
CANDIDATE,0,0,0,0,2.62,0
FALSE POSITIVE,0,0,1,0,588.66,1
CANDIDATE,0,0,0,0,2.33,0
CANDIDATE,0,0,0,0,2.18,0
CANDIDATE,0,0,0,0,1.42,0
FALSE POSITIVE,1,0,1,1,63.66,3
CANDIDATE,0,0,0,0,3.16,0
CANDIDATE,0,0,0,0,2.54,0
CANDIDATE,0,0,0,0,3.2,0
CANDIDATE,0,0,0,0,1.78,0
CANDIDATE,0,0,0,0,2.66,0
FALSE POSITIVE,1,0,1,1,4.68,3
CANDIDATE,0,0,0,0,4.53,0
FALSE POSITIVE,0,0,1,0,21.58,1
CANDIDATE,0,0,0,0,12.04,0
CANDIDATE,0,0,0,0,4.16,0
CANDIDATE,0,0,0,0,3.13,0
FALSE POSITIVE,0,1,0,0,2.92,5
CANDIDATE,0,0,0,0,1.74,0
CANDIDATE,0,0,0,0,1.72,0
CANDIDATE,0,0,0,0,1.29,0
CANDIDATE,0,0,0,0,1.3,0
CANDIDATE,0,0,0,0,2.45,0
FALSE POSITIVE,0,0,1,0,4.14,1
CANDIDATE,0,0,0,0,10.51,0
CANDIDATE,0,0,0,0,8.95,0
CANDIDATE,0,0,0,0,3.52,0
CANDIDATE,0,0,0,0,13.16,0
CANDIDATE,0,0,0,0,4.87,0
CANDIDATE,0,0,0,0,4.78,0
CANDIDATE,0,0,0,0,6.96,0
CANDIDATE,0,0,0,0,1.85,0
CANDIDATE,0,0,0,0,1.9,0
FALSE POSITIVE,0,0,1,0,2.57,1
FALSE POSITIVE,0,0,1,0,10.95,1
CANDIDATE,0,0,0,0,4.14,0
CANDIDATE,0,0,0,0,2.96,0
CANDIDATE,0,0,0,0,13.12,0
CANDIDATE,0,0,0,0,2.23,0
CANDIDATE,0,0,0,0,1.66,0
CANDIDATE,0,0,0,0,2.48,0
CANDIDATE,0,0,0,0,2.25,0
CANDIDATE,0,0,0,0,1.16,0
CANDIDATE,0,0,0,0,0.91,0
CANDIDATE,0,0,0,0,1.11,0
CANDIDATE,0,0,0,0,4.56,0
CANDIDATE,0,0,0,0,2.85,0
CANDIDATE,0,0,0,0,3.43,0
CANDIDATE,0,0,0,0,2.34,0
CANDIDATE,0,0,0,0,1.18,0
CANDIDATE,0,0,0,0,10.55,0
CANDIDATE,0,0,0,0,1.87,0
CANDIDATE,0,0,0,0,1.85,0
CANDIDATE,0,0,0,0,1.62,0
CANDIDATE,0,0,0,0,1.75,0
FALSE POSITIVE,1,0,1,0,4.33,2
CANDIDATE,0,0,0,0,2.47,0
CANDIDATE,0,0,0,0,2.43,0
CANDIDATE,0,0,0,0,1.08,0
CANDIDATE,0,0,0,0,2.72,0
CANDIDATE,0,0,0,0,3.14,0
CANDIDATE,0,0,0,0,1.36,0
CANDIDATE,0,0,0,0,3.09,0
CANDIDATE,0,0,0,0,2.64,0
CANDIDATE,0,0,0,0,10.6,0
FALSE POSITIVE,1,0,0,1,540.37,-1
CANDIDATE,0,0,0,0,2.68,0
CANDIDATE,0,0,0,0,2.42,0
CANDIDATE,0,0,0,0,9.66,0
FALSE POSITIVE,1,0,1,1,24.54,3
CANDIDATE,0,0,0,0,13.61,0
FALSE POSITIVE,1,0,0,1,3.57,7
CANDIDATE,0,0,0,0,13.26,0
FALSE POSITIVE,0,0,1,0,27.22,1
CANDIDATE,0,0,0,0,3.94,0
FALSE POSITIVE,1,0,1,0,4.37,2
CANDIDATE,0,0,0,0,10.98,0
FALSE POSITIVE,0,0,1,0,29.66,1
CANDIDATE,0,0,0,0,2.6,0
CANDIDATE,0,0,0,0,2.53,0
CANDIDATE,0,0,0,0,2.95,0
CANDIDATE,0,0,0,0,1.7,0
CANDIDATE,0,0,0,0,2.94,0
FALSE POSITIVE,0,1,0,0,20.7,5
CANDIDATE,0,0,0,0,3.13,0
CANDIDATE,0,0,0,0,4.06,0
FALSE POSITIVE,0,0,1,0,26.56,1
CANDIDATE,0,0,0,0,3.82,0
FALSE POSITIVE,0,0,1,0,44.04,1
CANDIDATE,0,0,0,0,2.11,0
CANDIDATE,0,0,0,0,2.06,0
